# BINNING-MACT: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MACT: M_{act} / M_{/CMSY10 \014}
# 1: MACT / Msun	2: probability
232.6	1.93936e-07
232.8	1.91539e-07
233	1.89822e-07
233.2	1.88664e-07
233.4	1.86904e-07
233.6	1.83536e-07
233.8	1.85706e-07
234	1.84110e-07
234.2	1.84453e-07
234.4	1.81154e-07
234.6	1.82531e-07
234.8	1.81221e-07
235	1.79416e-07
235.2	1.79854e-07
235.4	1.79230e-07
235.6	1.78858e-07
235.8	1.78752e-07
236	1.77378e-07
236.2	1.76026e-07
236.4	1.75428e-07
236.6	1.75511e-07
236.8	1.73954e-07
237	1.74082e-07
237.2	1.72779e-07
237.4	1.72805e-07
